PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
118209000,11,COMPOSTELA VALLEY,2ND,NABUNTURAN (CAPITAL),2014,4,0,0,6350000.0
118209000,11,COMPOSTELA VALLEY,2ND,NABUNTURAN (CAPITAL),2015,6,0,3,7050000.0
118209000,11,COMPOSTELA VALLEY,2ND,NABUNTURAN (CAPITAL),2016,20,0,0,7379000.0
118210000,11,COMPOSTELA VALLEY,1ST,NEW BATAAN,2012,1,0,0,800000.0
118210000,11,COMPOSTELA VALLEY,1ST,NEW BATAAN,2013,3,0,0,607000.0
118210000,11,COMPOSTELA VALLEY,1ST,NEW BATAAN,2014,3,0,0,785000.0
118210000,11,COMPOSTELA VALLEY,1ST,NEW BATAAN,2015,6,0,0,1962000.0
118210000,11,COMPOSTELA VALLEY,1ST,NEW BATAAN,2016,7,0,0,11150000.0
118211000,11,COMPOSTELA VALLEY,2ND,PANTUKAN,2012,1,0,0,4000000.0
118211000,11,COMPOSTELA VALLEY,2ND,PANTUKAN,2013,4,0,0,165000.0
118211000,11,COMPOSTELA VALLEY,2ND,PANTUKAN,2014,12,0,0,1850000.0
118211000,11,COMPOSTELA VALLEY,2ND,PANTUKAN,2015,6,0,0,1103000.0
118211000,11,COMPOSTELA VALLEY,2ND,PANTUKAN,2016,6,0,2,623000.0
112301000,11,DAVAO DEL NORTE,1ST,ASUNCION (SAUG),2012,3,0,1,650000.0
112301000,11,DAVAO DEL NORTE,1ST,ASUNCION (SAUG),2013,3,0,0,85000.0
112301000,11,DAVAO DEL NORTE,1ST,ASUNCION (SAUG),2014,2,0,0,540000.0
112301000,11,DAVAO DEL NORTE,1ST,ASUNCION (SAUG),2015,1,0,0,600000.0
112301000,11,DAVAO DEL NORTE,1ST,ASUNCION (SAUG),2016,6,0,0,4369750.0
112323000,11,DAVAO DEL NORTE,2ND,BRAULIO E. DUJALI,2012,1,0,0,75000.0
112323000,11,DAVAO DEL NORTE,2ND,BRAULIO E. DUJALI,2013,0,0,0,0.0
112323000,11,DAVAO DEL NORTE,2ND,BRAULIO E. DUJALI,2014,0,0,0,0.0
112323000,11,DAVAO DEL NORTE,2ND,BRAULIO E. DUJALI,2015,0,0,0,0.0
